Area,#,Title,Description,Type
Home – Header,1,Home header alignment,"The home header is slightly too low. The user icon and ""The School of Breath"" title should be repositioned so the header feels correctly aligned at the top of the screen.",UI
Home – Header,2,Day streak not working,"The ""Day Streak"" display on home does not work correctly. Implement or fix the logic so the streak value is accurate, persists, and updates when the user completes eligible sessions.",Bug / Feature
Onboarding,3,Onboarding persists after completion,"Onboarding should disappear once the user has completed it and must not show again. Persist completion state (e.g. in DB or local storage) and skip/redirect away from onboarding for returning users.",Feature
About us,4,About us should open in-app screen,"""About us"" currently opens an external link. It should redirect to a dedicated in-app screen instead of leaving the app to an external URL.",Feature
Courses,5,Remove debug ""loaded X courses"" text,"Remove the debug element that says ""Debug: Loaded X courses from API"" (e.g. ""Loaded 11 courses from API"") from the Courses screen. This is development-only UI and must not appear in production.",Bug
Courses,6,Premium lock on courses – no navigation,"When the user is not premium, show a lock state on course items. Do not allow navigation into the course (e.g. no opening detail or play). Only the unlock action should be available.",Feature
Courses,7,Unlock icon on play button for non-premium,"For non-premium users, show a lock/unlock icon on the same place as the play button (on course cards/icons). Tapping it should trigger the unlock flow, not start playback.",UI / Feature
Courses,8,Courses detail back button,"Fix or ensure the back button on the course detail screen works correctly and returns the user to the previous screen (e.g. Courses list).",UI
Courses,9,Unlock redirects to subscription,"When the user taps ""Unlock"" (or the lock icon) on a locked course item, redirect to the subscription/paywall screen instead of allowing access.",Feature
Breathing exercise,10,Diaphragmatic breathing – controls too high,"In diaphragmatic breathing, the pause button and volume icon are positioned too high. Move them down so they align better with the rest of the exercise UI.",UI
Breathing exercise,11,"""Video not supported"" during load","The video cue shows a ""video not supported"" (or similar) error while the video screen is still loading. Fix so either a loading state is shown or the message appears only when the video truly fails.",Bug
Breathing exercise,12,Volume and pause position in all exercises,"Bring the volume and pause controls down in every breathing exercise so they are consistent and not too high on the screen.",UI
Breathing exercise,13,No download certificate in final flow,"In the final step of the breathing exercise flow, the option to download the certificate is missing or not working. Add or fix the download certificate feature in the app.",Feature
Breathing exercise,14,Disable scroll and fit to screen,"Disable scroll on breathing exercise screens and ensure all elements fit within the visible screen height for a proper mobile experience (no overflow scroll).",UX
